Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2019-12-11;1.321,27;1.324,62;1.320,24;1.323,38;;0
2019-12-10;1.319,50;1.326,22;1.318,26;1.321,42;;
2019-12-09;1.318,6;1.323,05;1.317,66;1.319,21;;
2019-12-06;1.330,42;1.331,4;1.315,13;1.315,89;;
2019-12-05;1.329,33;1.334,29;1.327,91;1.330,37;;
2019-12-04;1.333,03;1.339,21;1.328,33;1.331,22;;
2019-12-03;1.320,88;1.338,39;1.318,73;1.334,47;;
2019-12-02;1.325,15;1.329,07;1.319,19;1.326,67;;
2019-11-29;1.325,47;1.335,38;1.323,22;1.333,16;;
2019-11-28;1.321,89;1.325,04;1.321,68;1.322,67;;
2019-11-27;1.327,92;1.327,92;1.319,78;1.321,09;;
2019-11-26;1.320,68;1.327,42;1.316,84;1.326,12;;
2019-11-25;1.327,49;1.328,2;1.321,03;1.321,9;;
2019-11-22;1.324,39;1.331,85;1.321,98;1.322,44;;
2019-11-21;1.329,86;1.330,44;1.318,91;1.320,38;;
2019-11-20;1.331,8;1.337,18;1.325,92;1.330,67;;
2019-11-19;1.328,32;1.331,74;1.322,77;1.329,32;;
2019-11-18;1.325,01;1.332,44;1.316,84;1.330,15;;
2019-11-15;1.333,4;1.333,57;1.325,65;1.330,42;;
2019-11-14;1.330,95;1.340,49;1.328,84;1.337,9;;
2019-11-13;1.323,17;1.333,03;1.323,17;1.329,68;;
2019-11-12;1.321,04;1.325,53;1.312,6;1.322,06;;
2019-11-11;1.324,98;1.328,13;1.311,97;1.318,68;;
2019-11-08;1.330,32;1.334,89;1.319,85;1.321,62;;
2019-11-07;1.345,41;1.347,08;1.319,87;1.325,77;;
2019-11-06;1.337,09;1.347,02;1.336,83;1.344,01;;
2019-11-05;1.358,89;1.358,99;1.332,29;1.335,46;;
2019-11-04;1.356,17;1.357,16;1.348,41;1.352,91;;
2019-11-01;1.357,91;1.360,2;1.349,94;1.359,11;;
2019-10-31;1.341,02;1.357,57;1.339,51;1.356,05;;
2019-10-30;1.339,23;1.347,52;1.334,21;1.346,29;;
2019-10-29;1.344,79;1.347,21;1.337,81;1.340,55;;
2019-10-28;1.358,28;1.360,22;1.344,1;1.345,95;;
2019-10-25;1.353,72;1.366,72;1.351,15;1.354,48;;
2019-10-24;1.340,73;1.351,55;1.337,42;1.351,34;;
2019-10-23;1.338,17;1.344,98;1.337,62;1.341,33;;
2019-10-22;1.334,25;1.337,79;1.330,64;1.336,58;;
2019-10-21;1.334,14;1.338,21;1.326,6;1.328,6;;
2019-10-18;1.339,06;1.340,81;1.332,68;1.337,18;;
2019-10-17;1.341,11;1.347,28;1.334,95;1.342,36;;
2019-10-16;1.343,63;1.352,45;1.340,07;1.351,11;;
2019-10-15;1.356,24;1.360,83;1.342,71;1.345,53;;
2019-10-14;1.346,54;1.356,98;1.345,38;1.353,61;;
2019-10-11;1.353,97;1.361,19;1.335,42;1.346,72;;
2019-10-10;1.365,57;1.375,32;1.352,58;1.354,1;;
2019-10-09;1.371,33;1.376,01;1.366,26;1.371,17;;
2019-10-08;1.359,71;1.373,29;1.354,36;1.370,49;;
2019-10-07;1.372,16;1.372,97;1.355,67;1.358,38;;
2019-10-04;1.371,33;1.375,57;1.363,49;1.369,97;;
2019-10-03;1.369,19;1.386,25;1.366,39;1.374,33;;
2019-10-02;1.354,4;1.377,39;1.349,93;1.372,91;;
2019-10-01;1.351,18;1.364,55;1.339,13;1.357,24;;
2019-09-30;1.374,67;1.374,67;1.345,45;1.352,34;;
2019-09-27;1.376,03;1.378,49;1.360,16;1.368,81;;
2019-09-26;1.375,3;1.382,48;1.373,5;1.375,53;;
2019-09-25;1.395,03;1.397,82;1.367,07;1.369,17;;
2019-09-24;1.383,49;1.395,28;1.378,21;1.392,57;;
2019-09-23;1.377,91;1.389,55;1.376,21;1.385,67;;
2019-09-20;1.359,33;1.375,29;1.358,14;1.374,81;;
2019-09-19;1.350,22;1.359;1.345,79;1.354,31;;
2019-09-18;1.358,51;1.367;1.343,63;1.351,77;;
2019-09-17;1.359,31;1.366,91;1.354,71;1.362,11;;
2019-09-16;1.365,71;1.369,18;1.356,39;1.358,2;;
2019-09-13;1.350,82;1.359,90;1.339,25;1.341,91;;
2019-09-12;1.365,9;1.389,93;1.358,65;1.367,53;;
2019-09-11;1.350,12;1.361,67;1.350,12;1.360,35;;
2019-09-10;1.357,61;1.359,56;1.345,11;1.345,58;;
2019-09-09;1.366,29;1.372,97;1.358,05;1.358,55;;
2019-09-06;1.377,35;1.385,58;1.363,05;1.367,03;;
